Theoretical pI,Instability index,Gravy,Target
6.471994591,39.57576023,-0.435672515,Less Stable
7.362206841,39.39793388,-0.484917355,Stable
7.628440666,43.74831461,-0.480898876,Less Stable
7.626678658,39.75970425,-0.508872458,Stable
8.375490761,37.99065744,-0.59100346,Stable
7.589562798,63.02445736,-0.509883721,Less Stable
7.826091194,62.91290441,-0.550735294,Less Stable
4.837703133,53.43115385,-0.490384615,Unstable
5.658117104,51.01759615,-0.301098901,Unstable
4.834633827,59.46883721,-0.143023256,Unstable
8.27620945,65.16744493,-0.385462555,Less Stable
10.35247822,96.56392405,-0.301898734,Less Stable
4.689694405,65.65608974,-0.150320513,Unstable
9.107013512,50.50754717,-0.891194969,Less Stable
6.152275276,58.85326316,-0.445894737,Unstable
6.029957771,54.94842884,-0.298336414,Unstable
6.154946709,55.73408663,-0.294350282,Unstable
4.870271873,56.21238671,0.019939577,Less Stable
9.209389305,79.26173423,-0.371621622,Less Stable
4.852424431,67.39675516,-0.150147493,Unstable
5.578201485,54.92139937,-0.355503145,Unstable
5.77526226,63.88279221,-0.403409091,Unstable
8.574633598,58.06826471,-0.401176471,Less Stable
4.787002754,54.67532895,0.048026316,Less Stable
5.295427513,50.03867596,-0.266898955,Unstable
4.937341881,53.16420952,-0.468571429,Unstable
6.819621849,42.57084404,-0.377247706,Unstable
8.551553917,70.31007194,-0.54352518,Less Stable
5.716092873,58.10872642,-0.537028302,Unstable
6.349051857,57.04827586,-0.737931034,Unstable
7.767184639,54.367125,-0.150833333,Less Stable
8.507908821,43.33627639,-0.148176583,Less Stable
6.363545799,54.37802536,-0.383152174,Unstable
7.491970253,51.15240091,-0.395198171,Less Stable
8.574698067,44.28143939,-0.150189394,Less Stable
8.790796089,43.55747573,-0.174368932,Less Stable
5.166459846,58.22760204,-0.753231293,Unstable
5.825564766,47.46435101,-0.242961609,Unstable
5.896386147,45.09149723,-0.247319778,Unstable
8.924761391,44.19351621,-0.161097257,Less Stable
5.047552681,50.0434556,-0.669111969,Unstable
5.238418007,51.30667932,-0.69772296,Unstable
5.371819115,51.9161976,-0.12245509,Unstable
4.606368446,49.50982659,0.091040462,Less Stable
4.481777382,39.94945455,-0.012727273,Less Stable
5.440537453,51.4603321,-0.459225092,Unstable
5.50482235,51.27892791,-0.527356747,Unstable
9.471388817,44.35151515,-0.398268398,Less Stable
9.168774223,49.89958159,-0.413389121,Less Stable
5.348060417,48.57893791,-0.526960784,Unstable
4.896019936,61.51203704,-0.406481481,Unstable
4.73942852,55.37391304,-0.720289855,Unstable
8.731227303,29.71544872,-0.214102564,Stable
4.867202568,59.74548896,-0.292744479,Unstable
8.44930706,53.34829545,-0.340909091,Less Stable
5.252798271,52.18128655,-0.495906433,Unstable
8.930499077,54.53496503,-0.424475524,Less Stable
8.854490852,36.24938865,-0.537991266,Stable
7.55847187,59.08490435,-0.448521739,Less Stable
7.941231728,59.5929916,-0.45092437,Less Stable
